epoch,phase2_epoch,train_loss,train_f1,val_loss,val_f1,best_f1,lr,swa_active
36,1,0.7280110010779707,0.7894417922094389,1.1265315303096064,0.5180900262352305,0.5377282213396907,1.6666666666666667e-06,False
37,2,0.7986203197231911,0.8182900029647189,1.1424628295789756,0.5131348961496021,0.5377282213396907,3.3333333333333333e-06,False
38,3,0.7348673230692038,0.8305555842633009,1.224025747375271,0.4887934645999163,0.5377282213396907,5e-06,False
39,4,0.7680463261735112,0.8272631272872086,1.0509155570951283,0.5129978458853088,0.5377282213396907,4.974553604702332e-06,False
40,5,0.8090399548299889,0.7987000947428896,1.024486556352034,0.513921683709616,0.5377282213396907,4.8987324340362445e-06,False
41,6,0.7973133979592835,0.8317176743818523,1.1358404268226732,0.5310407584736399,0.5377282213396907,4.7740799883862966e-06,False
42,7,0.7390843894416257,0.806165361096154,1.1008223206908614,0.5025772157258029,0.5377282213396907,4.603133832077953e-06,False
43,8,0.7184839971047684,0.8212286420419513,1.2493394823835107,0.47717983295405236,0.5377282213396907,4.3893739358856465e-06,False
44,9,0.6187637530062858,0.8204655281441188,1.0662992611909523,0.5363147232503719,0.5377282213396907,4.137151834863213e-06,False
45,10,0.6038923875946653,0.8161209235007085,1.1452985434790282,0.5078279219438702,0.5377282213396907,3.8516020436389945e-06,False
46,11,0.739118866789668,0.8275782022287843,1.1537628741006227,0.5300945518675094,0.5377282213396907,3.5385375325047167e-06,False
47,12,0.6787735315926949,0.8115026449000041,0.9864873736672252,0.5794845292171392,0.5794845292171392,3.2043313921035747e-06,False
48,13,0.6888670576480856,0.8544488280175617,1.0880375794875317,0.5372336270146292,0.5794845292171392,2.8557870956832135e-06,False
49,14,0.585945650823693,0.8296036168462154,1.0659147660616797,0.5529436811741347,0.5794845292171392,2.5e-06,False
50,15,0.6144098284238592,0.8283509439961506,1.1162165447517678,0.5387836266929024,0.5794845292171392,2.4632923872213655e-06,True
51,16,0.7266278522567559,0.8499102111772682,1.060968568182399,0.5487183536256763,0.5794845292171392,2.3567627457812108e-06,True
52,17,0.7136115439217584,0.8610384403373489,1.0259565716115837,0.5504382022447188,0.5794845292171392,2.190838939219355e-06,True
53,18,0.6665929918574574,0.8470303655989574,1.0554198250811324,0.5689011713216612,0.5794845292171392,1.9817627457812105e-06,True
54,19,0.6113658290254208,0.8431849368006725,1.0555838808374867,0.5428023675810777,0.5794845292171392,1.7499999999999998e-06,True
55,20,0.6169414353786858,0.8737626069225927,1.087728544178172,0.534829664653552,0.5794845292171392,1.5182372542187892e-06,True
56,21,0.5269655794871418,0.8620361224047608,1.043325166756611,0.5567820001643531,0.5794845292171392,1.3091610607806453e-06,True
57,22,0.6869796077509474,0.8534205234918169,1.019375909427632,0.5588143002149303,0.5794845292171392,1.1432372542187894e-06,True
58,23,0.6813179212912657,0.8508702008248531,1.0277843183262056,0.5602852182361241,0.5794845292171392,1.0367076127786347e-06,True
59,24,0.5849568237390305,0.8573465505325369,1.0398909624485548,0.5589221333933222,0.5794845292171392,1e-06,True
60,25,0.6648287505580303,0.8622860232700855,1.0410759802217837,0.5478359432260929,0.5794845292171392,1e-06,True
