epoch,train_loss,train_f1,val_loss,val_f1,best_f1,lr
42,0.6981699069867334,0.6524756540294913,0.44382624465341997,0.7145565093027019,0.7175080721868291,2.8549663646838717e-06
43,0.7341105760064872,0.6601347949796389,0.4677398140986931,0.6811416502061255,0.7175080721868291,1.8594235253127369e-06
44,0.7891923389687443,0.6744773263842582,0.46649315040678235,0.7002621420231989,0.7175080721868291,1.220245676671809e-06
45,0.7268006974235013,0.6569969645593922,0.4609708408216848,0.7079018121437416,0.7175080721868291,1e-05
46,0.6452480827735749,0.6604815440397309,0.45051838843674424,0.6913646396667454,0.7175080721868291,9.779754323328192e-06
47,0.6948208241536391,0.6888106723341675,0.4951263151791673,0.679552609240206,0.7175080721868291,9.140576474687265e-06
48,0.7365131468699204,0.6795558891891407,0.4731720890171778,0.673400174951762,0.7175080721868291,8.14503363531613e-06
49,0.6867965060354069,0.6692772341269805,0.4655250683586398,0.7004556434157646,0.7175080721868291,6.890576474687264e-06
50,0.6676507200363193,0.6915331993164471,0.47981187848003315,0.6864037223657228,0.7175080721868291,5.5e-06
51,0.7144308351259884,0.6786071618767507,0.45810074162942693,0.7055198282889029,0.7175080721868291,4.109423525312737e-06
52,0.6334471317316522,0.7046946113134496,0.4738302720945959,0.7014887054134319,0.7175080721868291,2.8549663646838717e-06
53,0.7507889260256264,0.7070992760098428,0.46839407207623796,0.6775353600020044,0.7175080721868291,1.8594235253127369e-06
54,0.7062870741416813,0.7069782438682496,0.4507640923116141,0.6976047526085701,0.7175080721868291,1.220245676671809e-06
55,0.6558289571050513,0.7084105423772392,0.44771994398288606,0.7015317314766273,0.7175080721868291,1e-05
